"Date","Price","Open","High","Low","Change %"
"Nov 09, 2020","5.3858","5.2746","5.4260","5.2235","0.39%"
"Nov 06, 2020","5.3647","5.5255","5.5742","5.3586","-2.90%"
"Nov 05, 2020","5.5250","5.6129","5.6310","5.5223","-2.45%"
"Nov 04, 2020","5.6635","5.7565","5.7655","5.6434","-1.61%"
"Nov 03, 2020","5.7560","5.6964","5.7667","5.6487","0.24%"
"Nov 02, 2020","5.7425","5.7430","5.7430","5.7430","-0.04%"
"Oct 30, 2020","5.7446","5.7781","5.8084","5.7217","-0.60%"
"Oct 29, 2020","5.7790","5.7466","5.7923","5.7439","0.58%"
"Oct 28, 2020","5.7457","5.7060","5.7927","5.7017","0.70%"
"Oct 27, 2020","5.7055","5.6243","5.7127","5.5986","1.47%"
"Oct 26, 2020","5.6229","5.6551","5.6638","5.6100","0.10%"
"Oct 23, 2020","5.6175","5.5929","5.6354","5.5651","0.50%"
"Oct 22, 2020","5.5893","5.6088","5.6264","5.5627","-0.31%"
"Oct 21, 2020","5.6066","5.6058","5.6294","5.5707","0.02%"
"Oct 20, 2020","5.6054","5.6103","5.6267","5.5472","-0.03%"
"Oct 19, 2020","5.6069","5.6463","5.6503","5.5665","-0.64%"
"Oct 16, 2020","5.6428","5.6097","5.6549","5.5975","0.54%"
"Oct 15, 2020","5.6126","5.5958","5.6483","5.5886","0.38%"
"Oct 14, 2020","5.5912","5.5729","5.6055","5.5349","0.39%"
"Oct 13, 2020","5.5693","5.5263","5.6262","5.5210","0.68%"
"Oct 09, 2020","5.5318","5.6000","5.6013","5.5104","-1.19%"
"Oct 08, 2020","5.5987","5.6128","5.6469","5.5761","-0.20%"
"Oct 07, 2020","5.6097","5.5613","5.6396","5.5507","0.30%"
"Oct 06, 2020","5.5930","5.5745","5.6174","5.4830","0.34%"
"Oct 05, 2020","5.5743","5.6498","5.6774","5.5500","-1.95%"
"Oct 02, 2020","5.6851","5.6433","5.6929","5.6072","0.73%"
"Oct 01, 2020","5.6437","5.6109","5.6652","5.5739","0.58%"
"Sep 30, 2020","5.6112","5.6352","5.6705","5.5870","-0.41%"
"Sep 29, 2020","5.6344","5.6614","5.6786","5.6061","-0.50%"
"Sep 28, 2020","5.6627","5.5135","5.6760","5.5127","1.80%"
"Sep 25, 2020","5.5624","5.5097","5.5890","5.5097","0.97%"
"Sep 24, 2020","5.5089","5.5930","5.6243","5.4926","-1.53%"
"Sep 23, 2020","5.5943","5.4702","5.5991","5.4700","2.26%"
"Sep 22, 2020","5.4704","5.4146","5.4967","5.3828","1.06%"
"Sep 21, 2020","5.4131","5.4511","5.4979","5.3876","0.47%"
"Sep 18, 2020","5.3876","5.2397","5.3988","5.2391","2.83%"
"Sep 17, 2020","5.2394","5.2379","5.2924","5.2264","0.03%"
"Sep 16, 2020","5.2377","5.2762","5.2785","5.2102","-0.70%"
"Sep 15, 2020","5.2748","5.2698","5.3016","5.2192","0.08%"
"Sep 14, 2020","5.2706","5.3191","5.3235","5.2613","-0.91%"
"Sep 11, 2020","5.3189","5.3209","5.3495","5.2583","-0.04%"
"Sep 10, 2020","5.3210","5.3095","5.3325","5.2681","0.25%"
"Sep 09, 2020","5.3078","5.3615","5.3620","5.2785","-1.04%"
"Sep 08, 2020","5.3638","5.3608","5.4096","5.3156","1.18%"
"Sep 04, 2020","5.3012","5.2901","5.3285","5.2465","0.19%"
"Sep 03, 2020","5.2914","5.3408","5.3752","5.2722","-0.92%"
"Sep 02, 2020","5.3403","5.3987","5.4309","5.3407","-1.03%"
"Sep 01, 2020","5.3960","5.4927","5.4927","5.3344","-1.74%"
"Aug 31, 2020","5.4914","5.3850","5.4955","5.3850","1.92%"
"Aug 28, 2020","5.3881","5.5700","5.5702","5.3855","-3.25%"
"Aug 27, 2020","5.5691","5.6060","5.6223","5.5435","-0.65%"
"Aug 26, 2020","5.6054","5.5090","5.6342","5.5089","1.78%"
"Aug 25, 2020","5.5075","5.6112","5.6136","5.5049","-1.83%"
"Aug 24, 2020","5.6100","5.5773","5.6148","5.5589","-0.16%"
"Aug 21, 2020","5.6192","5.5587","5.6332","5.5554","1.12%"
"Aug 20, 2020","5.5568","5.5573","5.6733","5.5381","-0.01%"
"Aug 19, 2020","5.5575","5.4674","5.5619","5.4345","1.66%"
"Aug 18, 2020","5.4666","5.5098","5.5168","5.4206","-0.77%"
"Aug 17, 2020","5.5090","5.4410","5.5149","5.4089","1.63%"
"Aug 14, 2020","5.4204","5.3699","5.4422","5.3573","0.96%"
"Aug 13, 2020","5.3690","5.4356","5.4362","5.3490","-1.18%"
"Aug 12, 2020","5.4333","5.3819","5.4925","5.3819","0.99%"
"Aug 11, 2020","5.3800","5.4809","5.4822","5.3716","-1.85%"
"Aug 10, 2020","5.4812","5.4395","5.4907","5.3517","0.79%"
