,us,eu,china,korea,taiwan,date
213,37592,61897,86434,187168,169080,2015/11/11
214,37746,61715,86795,190135,171027,2015/11/12
215,36529,61738,85855,187925,171955,2015/11/13
216,35726,61662,85568,190694,169380,2015/11/14
217,36869,63061,86040,194424,171335,2015/11/15
218,34898,62462,86504,186713,173529,2015/11/16
219,38127,62225,85107,189762,172473,2015/11/17
220,38198,62192,,,,2015/11/18
221,37721,62964,85515,188029,169220,2015/11/19
222,37235,61606,84757,188578,170996,2015/11/20
223,36623,61730,85702,190466,171841,2015/11/21
224,48437,62414,85605,192996,176163,2015/11/22
225,31162,63277,85696,183237,173853,2015/11/23
226,39109,62414,85505,196522,170591,2015/11/24
227,38930,61760,86097,190299,172575,2015/11/25
228,38518,61971,85720,190259,171361,2015/11/26
229,37663,61516,85922,186877,169902,2015/11/27
230,36895,61058,85690,193890,173326,2015/11/28
231,37912,62973,86369,196662,169041,2015/11/29
232,37399,60689,85859,186566,169219,2015/11/30
233,37805,60839,85973,192737,172394,2015/12/1
234,38013,61527,86114,187688,171039,2015/12/2
235,37724,61345,85204,189485,170786,2015/12/3
236,36838,61488,86140,186656,169113,2015/12/4
237,36469,61078,85695,191963,171945,2015/12/5
238,37313,62184,85816,185505,174643,2015/12/6
239,38111,62221,86310,185639,174185,2015/12/7
240,37838,61493,85994,186074,170463,2015/12/8
241,37601,61530,86064,185178,172700,2015/12/9
242,37815,61684,85358,185440,174269,2015/12/10
243,36626,61607,85957,188357,172748,2015/12/11
244,36923,61078,85372,188280,170056,2015/12/12
245,36720,61522,85766,183781,168942,2015/12/13
246,37637,61828,85415,183587,173272,2015/12/14
247,37037,61268,86271,189331,170283,2015/12/15
248,36783,61163,85934,184811,170583,2015/12/16
249,36770,61523,85552,185276,175803,2015/12/17
250,37032,61378,85407,181623,171203,2015/12/18
251,35962,60608,85099,183027,169931,2015/12/19
252,36120,61789,85548,185069,174837,2015/12/20
253,37030,60354,83910,188853,172265,2015/12/21
254,36127,60717,82891,186831,173727,2015/12/22
255,35873,60827,83427,184877,171936,2015/12/23
256,35489,60054,83512,187352,171663,2015/12/24
257,34491,60692,84045,189580,174445,2015/12/25
258,35615,60026,83865,187113,170264,2015/12/26
259,35622,60528,79215,187687,170613,2015/12/27
260,35836,59740,81691,191295,172288,2015/12/28
261,36136,59115,79737,188096,172295,2015/12/29
262,35378,59364,83003,186839,173733,2015/12/30
263,34588,59806,83447,172359,170256,2015/12/31
264,34796,59895,83087,186077,170331,2016/1/1
265,35065,59924,82848,182901,169661,2016/1/2
266,35262,60629,82640,180984,169742,2016/1/3
267,35961,59614,83078,179115,172018,2016/1/4
268,35247,60223,83186,179129,170920,2016/1/5
269,36403,60327,83349,177088,170871,2016/1/6
270,36184,60023,84270,177812,170477,2016/1/7
271,35922,59957,83512,175007,168861,2016/1/8
272,35483,59739,83808,178748,169347,2016/1/9
273,35011,60097,83584,180267,171453,2016/1/10
274,36006,60359,82801,183426,170125,2016/1/11
275,36094,60025,83450,175993,176863,2016/1/12
276,36007,60169,83164,174900,170145,2016/1/13
277,35846,60251,82754,174246,171783,2016/1/14
278,35756,60119,82929,175253,169190,2016/1/15
279,35134,60151,82040,169423,173415,2016/1/16
280,35445,60957,83229,183689,170253,2016/1/17
281,35936,61132,83495,181933,169056,2016/1/18
282,36916,61387,83793,179978,170069,2016/1/19
283,36563,61479,83601,177464,172192,2016/1/20
284,36966,61665,82881,173987,170445,2016/1/21
285,36262,60714,83021,173360,169711,2016/1/22
286,36608,61547,83754,172547,170723,2016/1/23
287,36674,61630,83711,181132,168501,2016/1/24
288,36383,62033,83239,171684,170598,2016/1/25
289,37365,62015,83460,174756,170005,2016/1/26
290,38050,62316,83156,177435,168801,2016/1/27
291,37644,62556,83310,182194,172078,2016/1/28
292,36382,60508,83579,179513,169737,2016/1/29
293,36706,61107,82796,181546,168746,2016/1/30
294,37197,62919,83372,165914,170883,2016/1/31
295,37285,62660,82945,181967,170298,2016/2/1
296,37647,62448,82127,175506,169012,2016/2/2
297,38624,63574,82791,174150,172459,2016/2/3
298,38071,63078,82604,178837,170193,2016/2/4
299,37570,62995,82445,179396,168937,2016/2/5
300,37538,63436,82407,172828,170658,2016/2/6
301,36962,64030,81239,168266,170638,2016/2/7
302,38261,64467,81102,171741,169075,2016/2/8
303,38557,64192,80310,168236,169873,2016/2/9
304,37918,65628,80211,166345,171140,2016/2/10
