,us,eu,china,korea,taiwan,date
161,28725.0,52279.0,78762.0,195151.0,171792.0,2015/9/20
162,30107.0,51493.0,79304.0,188979.0,173331.0,2015/9/21
163,29827.0,51140.0,79420.0,195281.0,175642.0,2015/9/22
164,31545.0,52166.0,79304.0,200790.0,173888.0,2015/9/23
165,30028.0,51800.0,78349.0,203151.0,176001.0,2015/9/24
166,29637.0,51992.0,77899.0,201729.0,172423.0,2015/9/25
167,29215.0,51462.0,78739.0,200222.0,171187.0,2015/9/26
168,29405.0,52248.0,78033.0,200348.0,173217.0,2015/9/27
169,29931.0,52107.0,78611.0,196502.0,175928.0,2015/9/28
170,30921.0,52629.0,79220.0,208786.0,170027.0,2015/9/29
171,30756.0,52784.0,79232.0,178880.0,169626.0,2015/9/30
172,30166.0,52155.0,79385.0,191052.0,171067.0,2015/10/1
173,29653.0,52000.0,79132.0,188965.0,171520.0,2015/10/2
174,30129.0,52027.0,78893.0,189197.0,171787.0,2015/10/3
175,29747.0,53150.0,79467.0,191747.0,168684.0,2015/10/4
176,31154.0,53917.0,79899.0,190570.0,169686.0,2015/10/5
177,32006.0,54934.0,79322.0,188895.0,172889.0,2015/10/6
178,32012.0,54064.0,79819.0,189977.0,175902.0,2015/10/7
179,32755.0,54682.0,79832.0,192477.0,175125.0,2015/10/8
180,32091.0,56204.0,79623.0,190142.0,172500.0,2015/10/9
181,30937.0,55926.0,80192.0,191019.0,170260.0,2015/10/10
182,31172.0,56284.0,80062.0,188147.0,171607.0,2015/10/11
183,31577.0,57460.0,79936.0,190692.0,171365.0,2015/10/12
184,34117.0,58919.0,80032.0,194083.0,172284.0,2015/10/13
185,33078.0,59834.0,80103.0,186254.0,170999.0,2015/10/14
186,32740.0,59420.0,80742.0,189198.0,172189.0,2015/10/15
187,31608.0,60633.0,81133.0,189781.0,170049.0,2015/10/16
188,32015.0,60131.0,81087.0,193032.0,170982.0,2015/10/17
189,32625.0,60922.0,80404.0,195869.0,168506.0,2015/10/18
190,34091.0,61496.0,80556.0,197210.0,173312.0,2015/10/19
191,33781.0,61528.0,80718.0,203856.0,169696.0,2015/10/20
192,34500.0,63026.0,82073.0,195665.0,170086.0,2015/10/21
193,34313.0,62258.0,81659.0,190877.0,169846.0,2015/10/22
194,33585.0,61590.0,81245.0,196346.0,167673.0,2015/10/23
195,33732.0,61534.0,80831.0,193351.0,172421.0,2015/10/24
196,33201.0,62472.0,80417.0,196961.0,171311.0,2015/10/25
197,34366.0,62033.0,80827.0,198821.0,173801.0,2015/10/26
198,34082.0,62205.0,80419.0,192054.0,172844.0,2015/10/27
199,35017.0,62310.0,82619.0,189984.0,176805.0,2015/10/28
200,34043.0,61474.0,82320.0,190345.0,172390.0,2015/10/29
201,33492.0,61140.0,83106.0,200048.0,173749.0,2015/10/30
202,33353.0,61016.0,83192.0,192008.0,170493.0,2015/10/31
203,33881.0,62108.0,83501.0,193300.0,173888.0,2015/11/1
204,35597.0,62283.0,83391.0,189951.0,169850.0,2015/11/2
205,36306.0,60802.0,83921.0,189987.0,172615.0,2015/11/3
206,35391.0,61932.0,84253.0,196719.0,171186.0,2015/11/4
207,36205.0,61857.0,84560.0,192339.0,176418.0,2015/11/5
208,35703.0,60952.0,83700.0,188993.0,176320.0,2015/11/6
209,35552.0,60867.0,84186.0,188937.0,172074.0,2015/11/7
210,35664.0,61967.0,84502.0,189860.0,172439.0,2015/11/8
211,35609.0,62787.0,86110.0,187881.0,170754.0,2015/11/9
212,36213.0,62086.0,86413.0,189623.0,169830.0,2015/11/10
213,37592.0,61897.0,86434.0,187168.0,169080.0,2015/11/11
214,37746.0,61715.0,86795.0,190135.0,171027.0,2015/11/12
215,36529.0,61738.0,85855.0,187925.0,171955.0,2015/11/13
216,35726.0,61662.0,85568.0,190694.0,169380.0,2015/11/14
217,36869.0,63061.0,86040.0,194424.0,171335.0,2015/11/15
218,34898.0,62462.0,86504.0,186713.0,173529.0,2015/11/16
219,38127.0,62225.0,85107.0,189762.0,172473.0,2015/11/17
220,38198.0,62192.0,85311.0,188895.5,170846.5,2015/11/18
221,37721.0,62964.0,85515.0,188029.0,169220.0,2015/11/19
222,37235.0,61606.0,84757.0,188578.0,170996.0,2015/11/20
223,36623.0,61730.0,85702.0,190466.0,171841.0,2015/11/21
224,48437.0,62414.0,85605.0,192996.0,176163.0,2015/11/22
225,31162.0,63277.0,85696.0,183237.0,173853.0,2015/11/23
226,39109.0,62414.0,85505.0,196522.0,170591.0,2015/11/24
227,38930.0,61760.0,86097.0,190299.0,172575.0,2015/11/25
228,38518.0,61971.0,85720.0,190259.0,171361.0,2015/11/26
229,37663.0,61516.0,85922.0,186877.0,169902.0,2015/11/27
230,36895.0,61058.0,85690.0,193890.0,173326.0,2015/11/28
231,37912.0,62973.0,86369.0,196662.0,169041.0,2015/11/29
232,37399.0,60689.0,85859.0,186566.0,169219.0,2015/11/30
233,37805.0,60839.0,85973.0,192737.0,172394.0,2015/12/1
234,38013.0,61527.0,86114.0,187688.0,171039.0,2015/12/2
235,37724.0,61345.0,85204.0,189485.0,170786.0,2015/12/3
236,36838.0,61488.0,86140.0,186656.0,169113.0,2015/12/4
237,36469.0,61078.0,85695.0,191963.0,171945.0,2015/12/5
238,37313.0,62184.0,85816.0,185505.0,174643.0,2015/12/6
239,38111.0,62221.0,86310.0,185639.0,174185.0,2015/12/7
240,37838.0,61493.0,85994.0,186074.0,170463.0,2015/12/8
241,37601.0,61530.0,86064.0,185178.0,172700.0,2015/12/9
242,37815.0,61684.0,85358.0,185440.0,174269.0,2015/12/10
243,36626.0,61607.0,85957.0,188357.0,172748.0,2015/12/11
244,36923.0,61078.0,85372.0,188280.0,170056.0,2015/12/12
245,36720.0,61522.0,85766.0,183781.0,168942.0,2015/12/13
246,37637.0,61828.0,85415.0,183587.0,173272.0,2015/12/14
247,37037.0,61268.0,86271.0,189331.0,170283.0,2015/12/15
248,36783.0,61163.0,85934.0,184811.0,170583.0,2015/12/16
249,36770.0,61523.0,85552.0,185276.0,175803.0,2015/12/17
250,37032.0,61378.0,85407.0,181623.0,171203.0,2015/12/18
251,35962.0,60608.0,85099.0,183027.0,169931.0,2015/12/19
252,36120.0,61789.0,85548.0,185069.0,174837.0,2015/12/20
253,37030.0,60354.0,83910.0,188853.0,172265.0,2015/12/21
254,36127.0,60717.0,82891.0,186831.0,173727.0,2015/12/22
255,35873.0,60827.0,83427.0,184877.0,171936.0,2015/12/23
256,35489.0,60054.0,83512.0,187352.0,171663.0,2015/12/24
257,34491.0,60692.0,84045.0,189580.0,174445.0,2015/12/25
258,35615.0,60026.0,83865.0,187113.0,170264.0,2015/12/26
259,35622.0,60528.0,79215.0,187687.0,170613.0,2015/12/27
260,35836.0,59740.0,81691.0,191295.0,172288.0,2015/12/28
261,36136.0,59115.0,79737.0,188096.0,172295.0,2015/12/29
262,35378.0,59364.0,83003.0,186839.0,173733.0,2015/12/30
263,34588.0,59806.0,83447.0,172359.0,170256.0,2015/12/31
264,34796.0,59895.0,83087.0,186077.0,170331.0,2016/1/1
265,35065.0,59924.0,82848.0,182901.0,169661.0,2016/1/2
266,35262.0,60629.0,82640.0,180984.0,169742.0,2016/1/3
267,35961.0,59614.0,83078.0,179115.0,172018.0,2016/1/4
268,35247.0,60223.0,83186.0,179129.0,170920.0,2016/1/5
269,36403.0,60327.0,83349.0,177088.0,170871.0,2016/1/6
270,36184.0,60023.0,84270.0,177812.0,170477.0,2016/1/7
