Epochs,loss us,accuracy us,loss us,accuracy us,loss eu,accuracy eu,loss eu,accuracy eu,loss china,accuracy china,loss china,accuracy china,loss korea,accuracy korea,loss korea,accuracy korea,loss taiwan,accuracy taiwan,loss taiwan,accuracy taiwan
0,0.6948919296264648,0.5198505520820618,0.6737368702888489,0.9285714030265808,1.7353570461273193,0.5357309579849243,1.6636892557144165,0.2142857164144516,1.7920459508895874,0.5123773813247681,1.6725674867630005,0.2857142984867096,2.6946423053741455,0.5310602784156799,0.9191833734512329,0.5,2.9662671089172363,0.5249882936477661,1.4998177289962769,0.4285714328289032
1,0.6967566609382629,0.506305456161499,0.7604889869689941,0.0714285746216774,0.7627660036087036,0.5642223358154297,0.4876234233379364,0.8571428656578064,0.7587851285934448,0.5665577054023743,0.9136995673179626,0.5714285969734192,0.9939342141151428,0.5987856388092041,0.5560426712036133,0.6428571343421936,1.0923101902008057,0.6198038458824158,1.0196127891540527,0.5
2,0.6982215642929077,0.49509575963020325,0.7973554730415344,0.0714285746216774,0.7074825763702393,0.5660905838012695,0.5688546299934387,0.8571428656578064,0.7048428058624268,0.5698271989822388,0.9627575278282166,0.4285714328289032,0.7659779787063599,0.6198038458824158,0.5588895678520203,0.7857142686843872,0.7662231922149658,0.6581037044525146,0.8598566055297852,0.2857142984867096
3,0.6961599588394165,0.4904250204563141,0.7618216276168823,0.0714285746216774,0.684269368648529,0.5735637545585632,0.586434543132782,0.8571428656578064,0.6794813275337219,0.5922465920448303,0.9454125165939331,0.3571428656578064,0.6822944283485413,0.6492293477058411,0.5778179168701172,0.7857142686843872,0.6644076108932495,0.6968706250190735,0.8592051863670349,0.2857142984867096
4,0.6925334930419922,0.5165810585021973,0.7211984992027283,0.0714285746216774,0.6743035316467285,0.5866417288780212,0.564263641834259,0.8571428656578064,0.6767895221710205,0.5959832072257996,0.9190197587013245,0.3571428656578064,0.6341983675956726,0.65716952085495,0.5827862024307251,0.7857142686843872,0.5829430222511292,0.7225595712661743,0.9307279586791992,0.2857142984867096
5,0.6933924555778503,0.5058383941650391,0.7391312718391418,0.0714285746216774,0.6733899712562561,0.5838393568992615,0.5442109704017639,0.8571428656578064,0.673891544342041,0.5899112820625305,0.9124575257301331,0.3571428656578064,0.6071241497993469,0.6749182343482971,0.5845502614974976,0.7857142686843872,0.5340531468391418,0.7323680520057678,0.9967675805091858,0.2142857164144516
6,0.6929808259010315,0.5077067017555237,0.7274519801139832,0.0714285746216774,0.6710759401321411,0.587108850479126,0.5352596640586853,0.8571428656578064,0.6686028242111206,0.5922465920448303,0.9130455255508423,0.3571428656578064,0.584760844707489,0.6865950226783752,0.5927173495292664,0.7857142686843872,0.5060778856277466,0.757122814655304,1.079553246498108,0.2857142984867096
7,0.692902684211731,0.5109761953353882,0.7390917539596558,0.0714285746216774,0.6667382717132568,0.6053246259689331,0.5283674597740173,0.8571428656578064,0.6628777384757996,0.607192873954773,0.918319821357727,0.3571428656578064,0.5740563273429871,0.6982718110084534,0.6109131574630737,0.7857142686843872,0.48074790835380554,0.7767398357391357,1.1491072177886963,0.2857142984867096
8,0.6933982372283936,0.5030359625816345,0.7331386208534241,0.0714285746216774,0.6677145957946777,0.5913124680519104,0.526381254196167,0.8571428656578064,0.6565085053443909,0.6216720938682556,0.9231677055358887,0.3571428656578064,0.5584300756454468,0.7104157209396362,0.621747612953186,0.7142857313156128,0.4615476429462433,0.7753386497497559,1.170383334159851,0.2857142984867096
9,0.6926066279411316,0.512844443321228,0.7365800738334656,0.0714285746216774,0.6645715832710266,0.599719762802124,0.5177112817764282,0.8571428656578064,0.6581692099571228,0.6039233803749084,0.9377261400222778,0.4285714328289032,0.5394534468650818,0.7146193385124207,0.641434371471405,0.6428571343421936,0.4373250901699066,0.7963568568229675,1.2229431867599487,0.2857142984867096
10,0.6937155723571777,0.5016347765922546,0.7533974051475525,0.0714285746216774,0.6642112135887146,0.5969173312187195,0.5178558230400085,0.8571428656578064,0.65668785572052,0.6118636131286621,0.9476416707038879,0.4285714328289032,0.5252299904823303,0.7239607572555542,0.6756022572517395,0.6428571343421936,0.4198158383369446,0.8033629059791565,1.3008464574813843,0.2857142984867096
