Location,Accuracy in %,RMSE
us,71.42857142857143,0.5884802
eu,71.42857142857143,0.15242484
china,28.57142857142857,1.6783876
korea,71.42857142857143,1.0066718
taiwan,42.857142857142854,0.42732435
