Epochs,loss us,accuracy us,loss us,accuracy us,loss eu,accuracy eu,loss eu,accuracy eu,loss china,accuracy china,loss china,accuracy china,loss korea,accuracy korea,loss korea,accuracy korea,loss taiwan,accuracy taiwan,loss taiwan,accuracy taiwan
0,0.7016253471374512,0.4890238344669342,0.8274203538894653,0.0714285746216774,0.6964751482009888,0.5268566012382507,0.5881375670433044,0.8571428656578064,1.617638349533081,0.5287249088287354,0.9988387227058411,0.5714285969734192,2.9629998207092285,0.5319944024085999,0.41566744446754456,0.7857142686843872,2.7883782386779785,0.5637552738189697,3.719275951385498,0.4285714328289032
1,0.6948096752166748,0.49743109941482544,0.7316063642501831,0.0714285746216774,0.6878178715705872,0.5441382527351379,0.675875723361969,0.2857142984867096,0.7967260479927063,0.556749165058136,0.7459140419960022,0.5714285969734192,1.0890593528747559,0.5754320621490479,0.40927138924598694,0.7857142686843872,1.5137042999267578,0.5707613229751587,3.502570867538452,0.2857142984867096
2,0.6932726502418518,0.5119103193283081,0.7384820580482483,0.0714285746216774,0.6871002316474915,0.5539467334747314,0.6475520730018616,0.9285714030265808,0.7288746237754822,0.5483418703079224,0.7171792984008789,0.5,0.7748439908027649,0.6034563183784485,0.4431627690792084,0.7857142686843872,0.9317343235015869,0.6286782026290894,2.617907762527466,0.3571428656578064
3,0.6935033798217773,0.49322745203971863,0.7327352166175842,0.0714285746216774,0.6856403350830078,0.5469406843185425,0.6540592908859253,0.9285714030265808,0.6887344121932983,0.5632882118225098,0.6988402605056763,0.5714285969734192,0.7084722518920898,0.6090611815452576,0.4533017575740814,0.7857142686843872,0.8842769861221313,0.6277440190315247,2.2229132652282715,0.3571428656578064
4,0.6936383247375488,0.5091078877449036,0.7360419034957886,0.0714285746216774,0.6848543286323547,0.5576833486557007,0.6516377329826355,0.9285714030265808,0.6758829951286316,0.5852405428886414,0.6931878328323364,0.5714285969734192,0.6607292890548706,0.6310135722160339,0.46042490005493164,0.7142857313156128,0.7292147874832153,0.6539000272750854,1.6382344961166382,0.3571428656578064
5,0.6925952434539795,0.5161139369010925,0.73422771692276,0.0714285746216774,0.6853016018867493,0.5702942609786987,0.6535779237747192,0.9285714030265808,0.6751084923744202,0.5861746668815613,0.693909227848053,0.5714285969734192,0.6349977850914001,0.6408220529556274,0.4610693156719208,0.7857142686843872,0.6925034523010254,0.6403549909591675,1.729379415512085,0.3571428656578064
6,0.6937665343284607,0.5109761953353882,0.7372797727584839,0.0714285746216774,0.6861724853515625,0.5558150410652161,0.6508015394210815,0.9285714030265808,0.6708621382713318,0.5866417288780212,0.695141613483429,0.5714285969734192,0.6327107548713684,0.6426903605461121,0.47509923577308655,0.7142857313156128,0.6267727613449097,0.6781877875328064,1.681984782218933,0.3571428656578064
7,0.6935053467750549,0.49276039004325867,0.7370260953903198,0.0714285746216774,0.6847376227378845,0.5721625685691833,0.6526368856430054,0.9285714030265808,0.6685358881950378,0.5913124680519104,0.6935328245162964,0.5714285969734192,0.645230770111084,0.6459598541259766,0.4723685681819916,0.7142857313156128,0.5991590023040771,0.6842597126960754,1.8222522735595703,0.3571428656578064
8,0.6928712129592896,0.5049042701721191,0.7374207377433777,0.0714285746216774,0.6841435432434082,0.5712283849716187,0.6537752747535706,0.9285714030265808,0.6647460460662842,0.5955160856246948,0.7005872130393982,0.5714285969734192,0.6342247724533081,0.6426903605461121,0.4646536707878113,0.7857142686843872,0.5826579928398132,0.693134069442749,1.8235028982162476,0.3571428656578064
9,0.692708432674408,0.5156468749046326,0.745135486125946,0.0714285746216774,0.6831212043762207,0.5623540282249451,0.6551142930984497,0.9285714030265808,0.6637029647827148,0.5861746668815613,0.6975468397140503,0.5714285969734192,0.609067976474762,0.6613731980323792,0.4630577266216278,0.7857142686843872,0.5643585920333862,0.7034096121788025,1.887925386428833,0.3571428656578064
